Concurso,Data,Local Realizacao,Rateio Processamento,Acumulou,Valor Acumulado,Dezenas,Premiacao
183,1999-09-04T00:00:00-03:00,,False,True,20905131.4,"02, 07, 11, 16, 40, 44","Sena (0 ganhadores), Quina (306 ganhadores), Quadra (20677 ganhadores)"
184,1999-09-11T00:00:00-03:00,,False,True,24733003.15,"09, 16, 21, 34, 41, 60","Sena (0 ganhadores), Quina (217 ganhadores), Quadra (15462 ganhadores)"
185,1999-09-18T00:00:00-03:00,,False,True,30124561.09,"17, 22, 43, 46, 55, 59","Sena (0 ganhadores), Quina (366 ganhadores), Quadra (24849 ganhadores)"
186,1999-09-25T00:00:00-03:00,,False,True,37335874.86,"14, 23, 24, 25, 26, 51","Sena (0 ganhadores), Quina (352 ganhadores), Quadra (31164 ganhadores)"
187,1999-10-02T00:00:00-03:00,,False,True,48320873.6,"06, 36, 41, 44, 48, 58","Sena (0 ganhadores), Quina (397 ganhadores), Quadra (39365 ganhadores)"
188,1999-10-10T00:00:00-02:00,,False,False,0,"17, 27, 34, 42, 43, 46","Sena (1 ganhadores), Quina (1200 ganhadores), Quadra (90235 ganhadores)"
189,1999-10-16T00:00:00-02:00,,False,True,1718456.25,"04, 15, 31, 38, 41, 53","Sena (0 ganhadores), Quina (61 ganhadores), Quadra (5485 ganhadores)"
190,1999-10-24T00:00:00-02:00,,False,True,44895988.05,"05, 10, 21, 32, 40, 42","Sena (0 ganhadores), Quina (304 ganhadores), Quadra (21481 ganhadores)"
191,1999-10-31T00:00:00-02:00,,False,False,0,"01, 03, 05, 23, 41, 58","Sena (1 ganhadores), Quina (383 ganhadores), Quadra (30477 ganhadores)"
192,1999-11-06T00:00:00-02:00,,False,True,1463122.78,"01, 26, 28, 41, 54, 60","Sena (0 ganhadores), Quina (53 ganhadores), Quadra (4403 ganhadores)"
193,1999-11-13T00:00:00-02:00,,False,True,3104692.58,"04, 11, 12, 19, 43, 49","Sena (0 ganhadores), Quina (190 ganhadores), Quadra (11415 ganhadores)"
194,1999-11-20T00:00:00-02:00,,False,True,4740789.92,"25, 28, 32, 33, 42, 43","Sena (0 ganhadores), Quina (106 ganhadores), Quadra (7456 ganhadores)"
195,1999-11-27T00:00:00-02:00,,False,False,0,"03, 09, 17, 32, 37, 44","Sena (1 ganhadores), Quina (339 ganhadores), Quadra (13819 ganhadores)"
196,1999-12-04T00:00:00-02:00,,False,True,1159520.95,"07, 09, 14, 17, 24, 32","Sena (0 ganhadores), Quina (182 ganhadores), Quadra (10493 ganhadores)"
197,1999-12-11T00:00:00-02:00,,False,True,2428125.98,"05, 12, 15, 19, 29, 52","Sena (0 ganhadores), Quina (128 ganhadores), Quadra (8720 ganhadores)"
198,1999-12-18T00:00:00-02:00,,False,True,3760278.08,"01, 08, 18, 23, 35, 40","Sena (0 ganhadores), Quina (125 ganhadores), Quadra (7134 ganhadores)"
199,1999-12-24T00:00:00-02:00,,False,False,0,"10, 16, 37, 50, 52, 57","Sena (1 ganhadores), Quina (34 ganhadores), Quadra (3143 ganhadores)"
200,1999-12-31T00:00:00-02:00,,False,False,0,"12, 15, 19, 34, 44, 51","Sena (2 ganhadores), Quina (186 ganhadores), Quadra (13027 ganhadores)"
201,2000-01-08T00:00:00-02:00,,False,False,0,"05, 20, 22, 30, 35, 55","Sena (1 ganhadores), Quina (77 ganhadores), Quadra (4502 ganhadores)"
202,2000-01-15T00:00:00-02:00,,False,True,968186.82,"12, 24, 44, 45, 49, 53","Sena (0 ganhadores), Quina (65 ganhadores), Quadra (4279 ganhadores)"
203,2000-01-22T00:00:00-02:00,,False,True,2034096.14,"11, 19, 29, 44, 47, 55","Sena (0 ganhadores), Quina (63 ganhadores), Quadra (5417 ganhadores)"
204,2000-01-29T00:00:00-02:00,,False,True,3194615.19,"29, 31, 39, 41, 51, 58","Sena (0 ganhadores), Quina (32 ganhadores), Quadra (2400 ganhadores)"
205,2000-02-05T00:00:00-02:00,,False,False,0,"26, 32, 40, 43, 46, 54","Sena (1 ganhadores), Quina (71 ganhadores), Quadra (6014 ganhadores)"
206,2000-02-12T00:00:00-02:00,,False,True,916897.74,"18, 20, 26, 34, 51, 56","Sena (0 ganhadores), Quina (43 ganhadores), Quadra (3478 ganhadores)"
207,2000-02-19T00:00:00-02:00,,False,True,1960583.04,"03, 07, 19, 24, 53, 55","Sena (0 ganhadores), Quina (90 ganhadores), Quadra (6510 ganhadores)"
208,2000-02-26T00:00:00-02:00,,False,True,3056064.34,"15, 23, 24, 25, 47, 57","Sena (0 ganhadores), Quina (72 ganhadores), Quadra (5232 ganhadores)"
209,2000-03-04T00:00:00-03:00,,False,True,4256466.94,"13, 21, 26, 32, 41, 52","Sena (0 ganhadores), Quina (81 ganhadores), Quadra (5496 ganhadores)"
210,2000-03-11T00:00:00-03:00,,False,True,14043878.83,"20, 32, 37, 38, 48, 58","Sena (0 ganhadores), Quina (29 ganhadores), Quadra (3921 ganhadores)"
211,2000-03-18T00:00:00-03:00,,False,True,16185115.03,"10, 20, 33, 40, 45, 50","Sena (0 ganhadores), Quina (164 ganhadores), Quadra (16680 ganhadores)"
212,2000-03-25T00:00:00-03:00,,False,True,18534548.53,"06, 15, 29, 45, 57, 59","Sena (0 ganhadores), Quina (147 ganhadores), Quadra (9880 ganhadores)"
213,2000-04-01T00:00:00-03:00,,False,False,0,"03, 09, 23, 30, 32, 35","Sena (3 ganhadores), Quina (312 ganhadores), Quadra (18348 ganhadores)"
214,2000-04-08T00:00:00-03:00,,False,True,1009456.63,"06, 12, 30, 31, 35, 50","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (3769 ganhadores)"
215,2000-04-15T00:00:00-03:00,,False,True,2139994.41,"07, 28, 37, 46, 53, 58","Sena (0 ganhadores), Quina (78 ganhadores), Quadra (4942 ganhadores)"
216,2000-04-22T00:00:00-03:00,,False,False,0,"14, 18, 30, 35, 42, 59","Sena (4 ganhadores), Quina (91 ganhadores), Quadra (5049 ganhadores)"
217,2000-04-29T00:00:00-03:00,,False,True,877607.32,"03, 27, 32, 45, 49, 51","Sena (0 ganhadores), Quina (159 ganhadores), Quadra (5820 ganhadores)"
218,2000-05-06T00:00:00-03:00,,False,False,0,"12, 17, 40, 42, 47, 54","Sena (1 ganhadores), Quina (95 ganhadores), Quadra (4679 ganhadores)"
219,2000-05-13T00:00:00-03:00,,False,True,885291.29,"23, 26, 28, 36, 42, 49","Sena (0 ganhadores), Quina (80 ganhadores), Quadra (5139 ganhadores)"
220,2000-05-20T00:00:00-03:00,,False,False,0,"13, 14, 36, 53, 55, 60","Sena (1 ganhadores), Quina (125 ganhadores), Quadra (8067 ganhadores)"
221,2000-05-27T00:00:00-03:00,,False,True,856460.89,"13, 27, 43, 50, 54, 58","Sena (0 ganhadores), Quina (49 ganhadores), Quadra (3793 ganhadores)"
222,2000-06-03T00:00:00-03:00,,False,True,1862509.6,"05, 19, 30, 48, 52, 55","Sena (0 ganhadores), Quina (55 ganhadores), Quadra (4462 ganhadores)"
223,2000-06-10T00:00:00-03:00,,False,True,3004483.21,"02, 06, 22, 24, 28, 58","Sena (0 ganhadores), Quina (163 ganhadores), Quadra (7780 ganhadores)"
224,2000-06-17T00:00:00-03:00,,False,True,4247750.04,"07, 16, 18, 20, 21, 44","Sena (0 ganhadores), Quina (119 ganhadores), Quadra (7185 ganhadores)"
225,2000-06-24T00:00:00-03:00,,False,True,5496971.76,"02, 04, 16, 21, 37, 58","Sena (0 ganhadores), Quina (83 ganhadores), Quadra (5517 ganhadores)"
226,2000-07-01T00:00:00-03:00,,False,False,0,"01, 02, 38, 49, 50, 59","Sena (1 ganhadores), Quina (78 ganhadores), Quadra (4123 ganhadores)"
227,2000-07-08T00:00:00-03:00,,False,True,885652.57,"11, 26, 27, 37, 42, 48","Sena (0 ganhadores), Quina (51 ganhadores), Quadra (3648 ganhadores)"
228,2000-07-15T00:00:00-03:00,,False,True,1902506.15,"13, 16, 40, 43, 45, 59","Sena (0 ganhadores), Quina (64 ganhadores), Quadra (4497 ganhadores)"
229,2000-07-22T00:00:00-03:00,,False,False,0,"11, 13, 21, 33, 39, 45","Sena (1 ganhadores), Quina (121 ganhadores), Quadra (7685 ganhadores)"
230,2000-07-29T00:00:00-03:00,,False,True,9547336,"08, 40, 41, 44, 53, 56","Sena (0 ganhadores), Quina (94 ganhadores), Quadra (5820 ganhadores)"
231,2000-08-05T00:00:00-03:00,,False,True,11481752.44,"16, 27, 36, 42, 44, 59","Sena (0 ganhadores), Quina (125 ganhadores), Quadra (9458 ganhadores)"
232,2000-08-12T00:00:00-03:00,,False,True,13653988.77,"19, 22, 29, 37, 41, 59","Sena (0 ganhadores), Quina (124 ganhadores), Quadra (8807 ganhadores)"
233,2000-08-19T00:00:00-03:00,,False,False,0,"03, 07, 24, 32, 36, 45","Sena (5 ganhadores), Quina (512 ganhadores), Quadra (21452 ganhadores)"
234,2000-08-26T00:00:00-03:00,,False,True,906511.63,"15, 25, 41, 42, 45, 54","Sena (0 ganhadores), Quina (39 ganhadores), Quadra (3505 ganhadores)"
235,2000-09-02T00:00:00-03:00,,False,True,1942631.63,"02, 22, 29, 31, 41, 55","Sena (0 ganhadores), Quina (52 ganhadores), Quadra (3086 ganhadores)"
236,2000-09-09T00:00:00-03:00,,False,True,3055084.91,"10, 25, 50, 52, 57, 60","Sena (0 ganhadores), Quina (76 ganhadores), Quadra (4703 ganhadores)"
237,2000-09-16T00:00:00-03:00,,False,True,4344394.18,"07, 31, 36, 45, 56, 57","Sena (0 ganhadores), Quina (54 ganhadores), Quadra (4145 ganhadores)"
238,2000-09-23T00:00:00-03:00,,False,False,0,"09, 13, 15, 37, 41, 42","Sena (4 ganhadores), Quina (188 ganhadores), Quadra (10483 ganhadores)"
